name,latitude,longitude,category,landmark,barangay,city,province
"Red Ribbon - Rizal Ave. Dipolog",8.587166245657865,123.34089770869794,food,"Rizal Avenue","Central (Pob.)","DIPOLOG CITY (Capital)","ZAMBOANGA DEL NORTE"
"Burger King - Juana Osmeña ",10.310350468506664,123.89497740600636,food," Juana Osmeña St. close national bookstore",Carreta,"CEBU CITY (Capital)",CEBU
"Mister Donut",8.584973164025461,123.34489116636921,food,"Padre Ramon Street","Estaca (Pob.)","DIPOLOG CITY (Capital)","ZAMBOANGA DEL NORTE"
"JOLLIBEE- Rizal Ave. Dipolog",8.587281345599783,123.3412736510269,food,"Rizal Avenue","Central (Pob.)","DIPOLOG CITY (Capital)","ZAMBOANGA DEL NORTE"
"Dhel's Halo-halo Malaybalay",8.158298803139498,125.12560936381092,food,"Irene's Food Court, Cudal Street, Fronting Don Macchiatos","Barangay 1 (Pob.)","CITY OF MALAYBALAY (Capital)",BUKIDNON
"Pat Pat Branch - HALOVERS DESSERT",8.195474208664784,125.06066001499335,food,"Near Elementary school","Patpat (Lapu-lapu)","CITY OF MALAYBALAY (Capital)",BUKIDNON
"JOLLIBEE - Rizal Ave. Dipolog",8.587249519916101,123.34134875287592,food,"Rizal Avenue","Central (Pob.)","DIPOLOG CITY (Capital)","ZAMBOANGA DEL NORTE"
"BUGER KING-Ayala Center",10.318352767960503,123.90519932885765,food,"Level 4, INSIDE Ayala Center",Luz,"CEBU CITY (Capital)",CEBU
"Burger King-Cabahug",10.325398861129496,123.91837812143427,food,"Beside Jollibee F Cabahug St. Kasambagan ",Kasambagan,"CEBU CITY (Capital)",CEBU
"JOLLIBEE - CITY MALL",8.57136714373849,123.33932896821786,food,"Sta. Filomena, National Highway","Santa Filomena","DIPOLOG CITY (Capital)","ZAMBOANGA DEL NORTE"
McDonalds,13.238024603633264,123.54592961172858,food,"Near Jacem gas station","Calzada (Pob.)","CITY OF LIGAO",ALBAY
"Ohime International",8.478861428405061,125.96750182857598,food,"Broadcast Park","San Isidro","SAN FRANCISCO","AGUSAN DEL SUR"
"Mang Inasal",13.239248466380374,123.53846966448164,food,"In Front of LCC Supermarket","Santa Cruz (Pob.)","CITY OF LIGAO",ALBAY
"Monster Wings",10.426678223262197,122.91898772908225,food,"corner, burgos san.agustin barangay 1","Barangay I (Pob.)","LA CARLOTA CITY","NEGROS OCCIDENTAL"
McDonalds,8.50418596151322,125.97723630704931,food,Rotonda,"Barangay 5 (Pob.)","SAN FRANCISCO","AGUSAN DEL SUR"
"JOLLIBEE  Quezon Ave. Dipolog",8.582265091663865,123.33864048171124,food,"Quezon Avenue","Miputak (Pob.)","DIPOLOG CITY (Capital)","ZAMBOANGA DEL NORTE"
Jollibee,13.240743123761378,123.53852422430649,food,"National Highway Brgy.Tuburan",Tuburan,"CITY OF LIGAO",ALBAY
"Jollibee Santiago",16.69614785551837,121.5609785377696,food,"Robinson's Place Santiago",Mabini,"CITY OF SANTIAGO",ISABELA
"Mang Inasal Santiago",16.696136408599912,121.56103516475777,food,"Robinson's Place Santiago",Mabini,"CITY OF SANTIAGO",ISABELA
"Andoks Santiago",16.6914277091589,121.5475904258501,food,"City Road","Centro West (Pob.)","CITY OF SANTIAGO",ISABELA
"Chowking Santiago",16.69692848281663,121.56113216895123,food,"Robinson's Place Santiago ",Mabini,"CITY OF SANTIAGO",ISABELA
"Greenwich Santiago",16.69697736578511,121.56266754196298,food,"Robinson's Place Santiago",Mabini,"CITY OF SANTIAGO",ISABELA
"Jollibee 1 Santiago",16.697778574954796,121.56119238913271,food,"Robinson's Mall","Calao East (Pob.)","CITY OF SANTIAGO",ISABELA
"Mang Inasal Victory Norte Santiago",16.687305247245405,121.54392224941637,food,"FranzIan Bldg","Victory Norte","CITY OF SANTIAGO",ISABELA
"Big Mak Burger Inc.",13.404291681807493,121.18395146570587,food,"front of Filipiniana Hotel","Lumang Bayan","CITY OF CALAPAN (Capital)","ORIENTAL MINDORO"
"Burger King - Vivo Cebu Escario",10.318169237217276,123.8965321549582,food," Vivo Cebu Escario","Camputhaw (Pob.)","CEBU CITY (Capital)",CEBU
McDonalds,13.402317368162672,121.18273604202979,food,"Along Roxas Drive, front of Shell","Lumang Bayan","CITY OF CALAPAN (Capital)","ORIENTAL MINDORO"
"Burger King - North Drive Mandaue ",10.322453541838339,123.93393572930961,food,"Northdrive, Ouano Avenue, Mandau",Opao,"MANDAUE CITY",CEBU
"BigBrew - San Jose Floridablanca",14.985848238537889,120.50964895014017,food,"San Jose Floridablanca","San Jose",FLORIDABLANCA,PAMPANGA
"Jollibee Tambo",13.942250118840205,121.13684532871409,food,"Tambo Elementary School",Tambo,"LIPA CITY",BATANGAS
"Mcdonald's Primark Gapan",15.307230753326097,120.94593922871194,food,"Beside Savemore Bucana","San Vicente (Pob.)","Gapan City","NUEVA ECIJA"
"Dunkin Donuts",8.508310705533669,125.97939482880659,food,"Mercury Drug-Rotonda","Barangay 4 (Pob.)","SAN FRANCISCO","AGUSAN DEL SUR"
"Minute Burger-San Francisco",8.508467012851018,125.97934701292162,food,"San Francisco Bus Terminal","Barangay 2 (Pob.)","SAN FRANCISCO","AGUSAN DEL SUR"
"Angel's Pizza",13.240357748959449,123.54035635204366,food,"Near Mercury drug store","Calzada (Pob.)","CITY OF LIGAO",ALBAY
"Graceland Baker's Plaza",13.240708687111198,123.5381525078655,food,"Near church","Calzada (Pob.)","CITY OF LIGAO",ALBAY
"chooks to go",16.425715505104627,120.59345428718314,food,"CHGV+79G, Baguio, Benguet","Magsaysay, Lower","BAGUIO CITY",BENGUET
"Potato Corner",13.241041966810991,123.53687167120786,food,"near church","Calzada (Pob.)","CITY OF LIGAO",ALBAY
Jollibee,8.50403905736513,124.59334355685503,food,"Igpit Highway",Igpit,OPOL,"MISAMIS ORIENTAL"
"THE CRUNCH APALIT PAMPANGA ",14.95127571131649,120.75769676770345,food,"Infront of Savemore ","San Vicente",APALIT,PAMPANGA
"JOLLIBEE - Divisoria ",6.948596243666387,122.10800583921453,food,"Jollibee - Zamboanga Divisoria Fronting IBT",Divisoria,"ZAMBOANGA CITY","ZAMBOANGA DEL SUR"
"Mang Inasal- Rizal Dipolog",8.587642630992764,123.3402979105471,food,"Rizal Ave. corner Quezon Avenue","Central (Pob.)","DIPOLOG CITY (Capital)","ZAMBOANGA DEL NORTE"
"Mang Inasal Waltermart",15.30371929208386,120.94601634885632,food,"Waltermart Gapan, Infront of Juan R. Liwag Memorial High School",Bayanihan,"Gapan City","NUEVA ECIJA"
